source,target,edge_type
00af4504cd311dd35e3df261b34fa49d5f182daa,dafd411280926dcdfb0a6a362a5559158bd10177,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,c32b3653f51b709734066ed220943c18ffa7a4f0,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,26d9bd021d400bd7b88fdc5d711f4c001cd3cd63,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,19b56d8c86b0721151588395efe79ba123d9a146,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,caa40f9bf1c54b8b5e1f19227729a8b563a2278b,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,84f6824a64f3e7d37d9cdb66e57dc0596b60acb8,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,46537eea0f5a2a7b57a2f9ead9ee0cb8e8905b79,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,e95b79f2c95439055e473f97d665146affa1e6d9,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,9a84b1c0c9f5b75a8617d54bbd661442bf39daa6,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,183d3256af3b5b45d3e96a0baae424033b58dd9f,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,b9633ddc180066cee5b8686fa2e1e46df818e357,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,b39bbc246f1a69b97282f4017261d9bae2889a61,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,7a47e543d6bb5f9dd948dcb7263f15852281e14c,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,c6f096c8f27cc965a21c681fbbfce5b8310a935e,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,9a0f1a1e0661e344cd28f44f54f3dbbc4324c03b,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,a1796055a2307d65a9fd672240d41e718dac631d,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,37b1f9b7c6aee24efdc216a01fe75bb8a7a856dc,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,b7833b47437ca91d4507269ff4fbf59c02902315,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,960b61f662c47522436fb9dd36fc07a20d5a9360,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,3865855dd3287ba859992a3e6a007fe85042b8a1,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,31b64b29c1bb86ae34ebbbdb7816acc37fac853a,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,6da2905bef6b50736660028ce5d11db3206095c1,citation
