author_1,author_2,weight
1978940,46465604,1
1978940,46567235,1
1978940,152225255,1
1978940,33155712,3
1978940,2359550,1
1978940,3204511,1
1978940,2193886,1
1978940,4469690,2
1978940,3306372,1
1978940,2215296,1
1978940,50026221,1
1978940,2139357,1
1978940,2306275331,1
1978940,145786043,1
1978940,153883035,1
1978940,2596869,1
1978940,4393898,1
1978940,2070821229,1
1978940,6546167,1
1978940,3790099,1
1978940,37195181,1
1978940,2342117086,1
1978940,38922148,1
1978940,34660241,2
1978940,2489607,2
1978940,3919970,1
1978940,2577481,1
1978940,38432020,1
1978940,2143118407,1
1978940,7162062,1
1978940,2239074199,1
1978940,46819618,1
1978940,2277598637,1
1978940,143629224,1
1978940,1395807949,1
1978940,2390203936,1
1978940,2251535632,1
1978940,2258990778,1
1978940,31421132,1
1978940,2154570723,1
1978940,2204175975,1
1978940,5916854,1
1978940,65921441,1
1978940,143758236,1
1978940,1766333,1
39741434,144817251,1
39741434,35698596,4
39741434,5573605,1
39741434,143683523,2
39741434,2256911664,2
39741434,2293238913,2
39741434,2184749721,2
39741434,2350457023,2
39741434,144369092,2
39741434,2254419470,2
39741434,2268420010,2
39741434,2350457090,2
39741434,2350585207,2
39741434,2350656679,2
39741434,2350501601,2
39741434,2260635774,2
39741434,2151231045,2
39741434,4587421,1
39741434,2202524178,1
39741434,2299649972,1
144817251,35698596,1
144817251,5573605,1
144817251,143683523,2
144817251,39723907,1
144817251,35415807,1
35698596,5573605,3
35698596,143683523,2
35698596,2256911664,2
35698596,2293238913,2
35698596,2184749721,2
35698596,2350457023,2
35698596,144369092,2
35698596,2254419470,2
35698596,2268420010,2
35698596,2350457090,2
35698596,2350585207,2
35698596,2350656679,2
35698596,2350501601,2
35698596,2260635774,4
35698596,2151231045,2
35698596,6633694,1
35698596,2396963314,1
35698596,4587421,1
35698596,2202524178,1
35698596,2299649972,1
5573605,143683523,4
5573605,47630633,1
5573605,6728150,1
5573605,6633694,1
5573605,2396963314,1
5573605,2260635774,2
5573605,35415807,1
143683523,143743643,3
143683523,2374585790,2
143683523,145008268,1
143683523,34629227,2
143683523,3326940,2
143683523,1758601,3
143683523,47630633,1
143683523,6728150,1
143683523,5088097,2
143683523,2319593,2
143683523,6504661,2
143683523,2653066,2
143683523,2333779,2
143683523,48446189,1
143683523,46888797,2
143683523,2072482157,2
143683523,4525532,2
143683523,151249872,1
143683523,2149395213,1
143683523,50786014,1
143683523,22246366,1
143683523,6795403,1
143683523,4800642,1
143683523,1968925,1
143683523,39786414,1
143683523,1761186,1
143683523,40791627,1
143683523,152560087,1
143683523,39723907,1
143683523,35415807,2
143683523,4587421,1
143683523,144825308,1
143683523,3128102,1
143683523,49754600,1
143683523,1398494727,1
143683523,32502235,1
143683523,2109130614,1
143683523,49419114,1
4621606,8867266,4
4621606,2681260,5
4621606,2625032,3
4621606,34496255,1
4621606,3330620,12
4621606,40067731,2
4621606,4340071,1
4621606,50644362,1
4621606,34545557,2
4621606,32500489,1
4621606,36258317,2
4621606,6740762,2
4621606,51046501,2
4621606,121759148,1
4621606,2127521774,2
4621606,2455118306,1
4621606,2250383416,2
4621606,2244743439,1
4621606,2273172565,1
4621606,38679576,1
4621606,2268884600,1
4621606,2101453,1
4621606,2274079747,2
4621606,2305833,3
4621606,5992174,1
4621606,2317711534,1
4621606,2119508,1
4621606,144869685,1
4621606,2593959,1
4621606,144888963,4
4621606,2265261920,1
4621606,2221275475,1
4621606,2253437426,1
4621606,2264982727,1
4621606,1693704984,1
4621606,4356605,1
4621606,2434415,4
4621606,1680974,4
4621606,145750797,1
4621606,32673318,4
4621606,47506525,3
4621606,40343889,3
4621606,1404680724,3
4621606,3045588,3
4621606,145477106,3
4621606,144962062,3
4621606,144366416,3
4621606,51162341,3
4621606,3478407,3
4621606,2027039786,2
4621606,2076795300,3
4621606,144194436,3
4621606,1800611,3
4621606,72206323,3
4621606,5065300,3
4621606,2057855350,1
4621606,144177691,3
4621606,3672819,3
4621606,26296723,3
4621606,1400039686,3
4621606,2217056,3
4621606,3884930,3
4621606,3824439,3
4621606,4734000,3
4621606,144925805,3
4621606,4584073,3
4621606,2133441,3
4621606,2053788,3
4621606,144531937,3
4621606,2057963931,3
4621606,2727421,3
4621606,6345561,3
4621606,49884429,1
4621606,1400064324,3
