paper_id,author_id,author_name,position,n_authors
84ef72400bb7202476cf4874418df708b7cec3e5,51067824,Chengfeng Gao,14,77
84ef72400bb7202476cf4874418df708b7cec3e5,2115679598,Ye Wu,15,77
84ef72400bb7202476cf4874418df708b7cec3e5,11193916,Jieyan Ma,16,77
84ef72400bb7202476cf4874418df708b7cec3e5,28365985,H. Renjie,17,77
84ef72400bb7202476cf4874418df708b7cec3e5,2146262430,Qiang Li,18,77
84ef72400bb7202476cf4874418df708b7cec3e5,1744741,C. Westin,19,77
84ef72400bb7202476cf4874418df708b7cec3e5,1403572267,Samuel Deslauriers-Gauthier,20,77
84ef72400bb7202476cf4874418df708b7cec3e5,2107363880,J. O. O. González,21,77
84ef72400bb7202476cf4874418df708b7cec3e5,143776923,Michael Paquette,22,77
84ef72400bb7202476cf4874418df708b7cec3e5,1399712398,Samuel St-Jean,23,77
84ef72400bb7202476cf4874418df708b7cec3e5,3289490,G. Girard,24,77
84ef72400bb7202476cf4874418df708b7cec3e5,51294781,F. Rheault,25,77
84ef72400bb7202476cf4874418df708b7cec3e5,37702431,Jasmeen Sidhu,26,77
84ef72400bb7202476cf4874418df708b7cec3e5,3200697,C. Tax,27,77
84ef72400bb7202476cf4874418df708b7cec3e5,1399491121,F. Guo,28,77
84ef72400bb7202476cf4874418df708b7cec3e5,2356057,H. Mesri,29,77
84ef72400bb7202476cf4874418df708b7cec3e5,97284139,Szabolcs Dávid,30,77
84ef72400bb7202476cf4874418df708b7cec3e5,2310142,M. Froeling,31,77
84ef72400bb7202476cf4874418df708b7cec3e5,39538627,A. Heemskerk,32,77
84ef72400bb7202476cf4874418df708b7cec3e5,144385759,A. Leemans,33,77
84ef72400bb7202476cf4874418df708b7cec3e5,2774123,A. Boré,34,77
84ef72400bb7202476cf4874418df708b7cec3e5,5002782,B. Pinsard,35,77
84ef72400bb7202476cf4874418df708b7cec3e5,4919662,C. Bedetti,36,77
84ef72400bb7202476cf4874418df708b7cec3e5,48051674,M. Desrosiers,37,77
84ef72400bb7202476cf4874418df708b7cec3e5,145348826,S. Brambati,38,77
84ef72400bb7202476cf4874418df708b7cec3e5,2118136,J. Doyon,39,77
84ef72400bb7202476cf4874418df708b7cec3e5,1686556,Alessia Sarica,40,77
84ef72400bb7202476cf4874418df708b7cec3e5,145536237,R. Vasta,41,77
84ef72400bb7202476cf4874418df708b7cec3e5,1685733,A. Cerasa,42,77
84ef72400bb7202476cf4874418df708b7cec3e5,2321981,A. Quattrone,43,77
84ef72400bb7202476cf4874418df708b7cec3e5,1893965,J. Yeatman,44,77
84ef72400bb7202476cf4874418df708b7cec3e5,2218490594,Ali R. Khan,45,77
84ef72400bb7202476cf4874418df708b7cec3e5,38714662,Wes Hodges,46,77
84ef72400bb7202476cf4874418df708b7cec3e5,145223339,Simon Alexander,47,77
84ef72400bb7202476cf4874418df708b7cec3e5,2286794,D. Romascano,48,77
84ef72400bb7202476cf4874418df708b7cec3e5,3129878,M. Barakovic,49,77
84ef72400bb7202476cf4874418df708b7cec3e5,3086399,A. Auría,50,77
84ef72400bb7202476cf4874418df708b7cec3e5,144544437,O. Esteban,51,77
84ef72400bb7202476cf4874418df708b7cec3e5,1915320,A. Lemkaddem,52,77
84ef72400bb7202476cf4874418df708b7cec3e5,1710257,J. Thiran,53,77
84ef72400bb7202476cf4874418df708b7cec3e5,5054463,H. Cetingul,54,77
84ef72400bb7202476cf4874418df708b7cec3e5,2709133,B. Odry,55,77
84ef72400bb7202476cf4874418df708b7cec3e5,1892637,B. Mailhé,56,77
84ef72400bb7202476cf4874418df708b7cec3e5,1809716,M. Nadar,57,77
84ef72400bb7202476cf4874418df708b7cec3e5,48073925,F. Pizzagalli,58,77
84ef72400bb7202476cf4874418df708b7cec3e5,145686558,Gautam Prasad,59,77
84ef72400bb7202476cf4874418df708b7cec3e5,1399712338,Julio E. Villalón-Reina,60,77
84ef72400bb7202476cf4874418df708b7cec3e5,49491734,Justin Galvis,61,77
84ef72400bb7202476cf4874418df708b7cec3e5,2412795623,P. Thompson,62,77
84ef72400bb7202476cf4874418df708b7cec3e5,1391674718,Francisco de Santiago Requejo,63,77
84ef72400bb7202476cf4874418df708b7cec3e5,48503986,P. L. Laguna,64,77
84ef72400bb7202476cf4874418df708b7cec3e5,39642648,L. Lacerda,65,77
84ef72400bb7202476cf4874418df708b7cec3e5,2106910598,Rachel L. C. Barrett,66,77
84ef72400bb7202476cf4874418df708b7cec3e5,1381587156,F. Dell’Acqua,67,77
84ef72400bb7202476cf4874418df708b7cec3e5,2238485,M. Catani,68,77
84ef72400bb7202476cf4874418df708b7cec3e5,143601955,L. Petit,69,77
84ef72400bb7202476cf4874418df708b7cec3e5,2337305,E. Caruyer,70,77
84ef72400bb7202476cf4874418df708b7cec3e5,1916342,Alessandro Daducci,71,77
84ef72400bb7202476cf4874418df708b7cec3e5,2137947,T. Dyrby,72,77
84ef72400bb7202476cf4874418df708b7cec3e5,1388888681,T. Holland-Letz,73,77
84ef72400bb7202476cf4874418df708b7cec3e5,1867488,C. Hilgetag,74,77
84ef72400bb7202476cf4874418df708b7cec3e5,46617375,B. Stieltjes,75,77
84ef72400bb7202476cf4874418df708b7cec3e5,1788574,M. Descoteaux,76,77
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,1906892,B. Edlow,0,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,102705226,Mark D Olchanyi,1,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,2210225881,Holly J. Freeman,2,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,2151968277,Jian Li,3,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,2260322769,Chiara Maffei,4,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,39311804,S. Snider,5,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,2237693,Lilla Zöllei,6,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,2239182023,J. E. Iglesias,7,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,2293601566,Jean Augustinack,8,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,5825537,Yelena G. Bodien,9,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,2293601666,Robin L. Haynes,10,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,2239180540,Douglas N. Greve,11,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,33388196,Bram R. Diamond,12,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,33713501,A. Stevens,13,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,6293951,J. Giacino,14,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,2282375664,C. Destrieux,15,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,1974674,A. V. D. van der Kouwe,16,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,2238581545,E. Brown,17,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,2202802,R. Folkerth,18,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,2238940060,B. Fischl,19,21
98e84f17a70a549ae8375d1d5cfe68ca3f34ceb8,2251636809,Hannah C. Kinney,20,21
ced273e923bd7b6d291102d3bd94cd8c541ad58e,2302747,Teng Xie,0,2
ced273e923bd7b6d291102d3bd94cd8c541ad58e,145475635,Yong He,1,2
0de2c91d10f2b441329f068cf481c4abd21243ec,33058822,L. Zhan,0,15
0de2c91d10f2b441329f068cf481c4abd21243ec,35261675,Lisanne M. Jenkins,1,15
0de2c91d10f2b441329f068cf481c4abd21243ec,49425591,A. Zhang,2,15
0de2c91d10f2b441329f068cf481c4abd21243ec,48851373,G. Conte,3,15
0de2c91d10f2b441329f068cf481c4abd21243ec,145604882,A. Forbes,4,15
0de2c91d10f2b441329f068cf481c4abd21243ec,34189754,D. Harvey,5,15
0de2c91d10f2b441329f068cf481c4abd21243ec,5815292,K. Angkustsiri,6,15
0de2c91d10f2b441329f068cf481c4abd21243ec,1397972951,N. Goodrich-Hunsaker,7,15
0de2c91d10f2b441329f068cf481c4abd21243ec,26672710,Courtney A. Durdle,8,15
0de2c91d10f2b441329f068cf481c4abd21243ec,40001469,Aaron Lee,9,15
