work_id,canonical_paper_id,source_group,year,venue,doi,title,publication_types,has_abstract,abstract_chars,record_type,is_research_paper,confidence,signal_count,evidence,title_rule,title_rule_type,title_rule_strength,title_match,publication_type_signal,publication_type_signal_type,publication_type_signal_strength,vetoed_publication_type_signals,research_publication_types,signals_conflict,watchlist_titles,review_queue,review_reasons
work_ab280cdc155c4126,18e61bd84778c406d449d0d2fc0336e59411ebf8,core_audit,2020.0,Brain Structure and Function,10.1007/s00429-020-02080-z,Perspectives given by structural connectivity bridge the gap between structure and function,Editorial,True,3529,editorial_commentary,False,medium,1,publication_type:Editorial(strong),,,,,Editorial,editorial_commentary,strong,,,False,,True,unconfirmed_nonpaper_medium_confidence;nonpaper_with_substantial_abstract
work_ad2245ba02976b6a,02072982afdd4c6bf28869e68a584372279de1ac,core_audit,2004.0,,,Viewpoint Synaptic Connectivity and Neuronal Morphology: Two Sides of the Same Coin,,False,0,research_paper,True,medium,0,watchlist_title:viewpoint_prefix,,,,,,,,,,False,viewpoint_prefix,True,watchlist_title
work_af05a96a7b98a578,23a1c4b80ed4da24f75d06d544fd018595beb997,unresolved,2014.0,,10.1016/b978-0-12-396460-1.00018-4,Chapter 18 – The Human Connectome: Linking Structure and Function in the Human Brain,Review,False,0,book_or_chapter,False,low,1,title_rule:numbered_chapter='Chapter 18'; research_publication_type:Review,numbered_chapter,book_or_chapter,suggestive,Chapter 18,,,,,Review,True,,True,unconfirmed_nonpaper_low_confidence;signal_conflict
work_b3b6e647d74692d8,8e721d2fae40868359b96c0ff5da8e0675964e35,unresolved,2009.0,Nature Neuroscience,10.1038/nn0409-365,First report of action potentials in a C. elegans neuron is premature,LettersAndComments;Review,True,5081,research_paper,True,medium,0,weak_publication_type:LettersAndComments; research_publication_type:Review,,,,,,,,,Review,False,,True,weak_nonpaper_signal_kept_as_paper
work_b8c8681f9d3582e5,60d11ca36eb0f4b7ffda3dc026ae7c31e1d62196,unresolved,2021.0,,10.1002/jnr.24818/v1/review1,"Review for ""Investigating the brain structural connectome following working memory training in children born extremely preterm or extremely low birth weight""",Review,False,0,peer_review_report,False,medium,1,"title_rule:review_for_quoted='Review for ""'; research_publication_type:Review",review_for_quoted,peer_review_report,unambiguous,"Review for """,,,,,Review,True,,True,unconfirmed_nonpaper_medium_confidence;signal_conflict
work_bc30ed97160e9e40,01c98a9be1250f820eb16170d5c8f5ff2b98f4b2,unresolved,2020.0,,10.1111/ejn.14988/v1/review1,"Review for ""Statistical analysis of unidirectional and reciprocal chemical connections in the C. elegans connectome""",Review,False,0,peer_review_report,False,medium,1,"title_rule:review_for_quoted='Review for ""'; research_publication_type:Review",review_for_quoted,peer_review_report,unambiguous,"Review for """,,,,,Review,True,,True,unconfirmed_nonpaper_medium_confidence;signal_conflict
work_bd07f974efc37587,ccf9f3a8a53bad729a24b86ef71c942244c55dc7,unresolved,2016.0,,10.1515/s13295-016-0029-z,Editorial. Computational connectomics,Review,False,0,editorial_commentary,False,medium,1,title_rule:editorial_prefix='Editorial'; research_publication_type:Review,editorial_prefix,editorial_commentary,unambiguous,Editorial,,,,,Review,True,,True,unconfirmed_nonpaper_medium_confidence;signal_conflict
work_bd445162309a9451,170f220f33688f53587f8ac056b5bb398a029c54,core_audit,2015.0,Frontiers in Psychology,10.3389/fpsyg.2015.01112,Commentary “Reinstatement of long-term memory following erasure of its behavioral and synaptic expression in Aplysia”,JournalArticle,True,7382,editorial_commentary,False,high,1,"title_rule:commentary_prefix='Commentary ""'",commentary_prefix,editorial_commentary,unambiguous,"Commentary """,,,,,,False,,True,nonpaper_with_substantial_abstract
work_be927afb5528209b,f0f2de1d90c0b3b19897103207e56311b2539dc8,unresolved,2020.0,Brain Communications,10.1093/braincomms/fcaa001,Structural brain networks and functional motor outcome after stroke—a prospective cohort study,LettersAndComments;JournalArticle,True,1709,research_paper,True,medium,0,weak_publication_type:LettersAndComments,,,,,,,,,,False,,True,weak_nonpaper_signal_kept_as_paper
work_bfd6257501fca857,05e2b67d27f503d5bd811aa28adf799f4ac4c16f,unresolved,2015.0,Frontiers in Human Neuroscience,10.3389/fnhum.2015.00458,Corrigendum: GRETNA: a graph theoretical network analysis toolbox for imaging connectomics,,True,65,erratum_correction,False,medium,1,title_rule:corrigendum='Corrigendum',corrigendum,erratum_correction,unambiguous,Corrigendum,,,,,,False,,True,unconfirmed_nonpaper_medium_confidence
