author_norm,person_id,person_display_name,name_variants,component_size,is_reconciled_merge
amigó|j,person:j amigo,J. Amigó,J. Amigó,1,False
ammer|g,person:georg ammer,Georg Ammer,Georg Ammer,1,False
ampo|pl,person:philip lenard ampo,Philip Lenard Ampo,Philip Lenard Ampo,1,False
amsalem|o,person:oren amsalem,Oren Amsalem,Oren Amsalem,1,False
amunts|k,person:katrin amunts,Katrin Amunts,K. Amunts; Katrin Amunts,1,False
anaclet|c,person:christelle anaclet,Christelle Anaclet,Christelle Anaclet,1,False
anadón|r,person:r anadon,R. Anadón,R. Anadón,1,False
analoro|c,person:cole analoro,Cole Analoro,Cole Analoro,1,False
anand|c,person:chaitali anand,Chaitali Anand,Chaitali Anand,1,False
anand|v,person:veera anand,Veera Anand,Veera Anand,1,False
ananth|m,person:m ananth,M. Ananth,M. Ananth,1,False
anastassiou|c,person:c anastassiou,C. Anastassiou,C. Anastassiou,1,False
anastassiou|d,person:d anastassiou,D. Anastassiou,D. Anastassiou,1,False
andermann|m,person:m andermann,M. Andermann,M. Andermann,1,False
anderson|d,person:d anderson,D. J. Anderson,D. Anderson; D. J. Anderson,2,True
anderson|dj,person:d anderson,D. J. Anderson,D. Anderson; D. J. Anderson,2,True
anderson|jr,person:james anderson,James R. Anderson,James R Anderson; James R. Anderson,1,False
anderson|m,person:michael anderson,Michael Anderson,Michael Anderson,1,False
anderson|rj,person:robert anderson,Robert J Anderson,R. J. Anderson; Robert J Anderson,1,False
andersson|j,person:j andersson,J. Andersson,J. Andersson,1,False
andlauer|tfm,person:till andlauer,Till F. M. Andlauer,Till F. M. Andlauer,1,False
andrade|iv,person:ingrid andrade,Ingrid V. Andrade,Ingrid V. Andrade,1,False
andrade|j,person:julia andrade,Julia Andrade,Julia Andrade,1,False
andrade|vd,person:v de andrade,V. De Andrade,V. De Andrade,1,False
andreatta|g,person:g andreatta,G. Andreatta,G. Andreatta,1,False
andujo|am,person:aida andujo,Aida M. Andujo,Aida M. Andujo,1,False
aneesh|p,person:p aneesh,P.B. Aneesh,P.B. Aneesh,1,False
angelantonio|s,person:s angelantonio,S. Angelantonio,S. Angelantonio,1,False
anglin|j,person:julia anglin,Julia Anglin,Julia Anglin,1,False
angstadt|c,person:claire angstadt,Claire Angstadt,Claire Angstadt,1,False
aniceto|r,person:roxanne aniceto,Roxanne Aniceto,Roxanne Aniceto,1,False
anjewierden|s,person:scott anjewierden,Scott Anjewierden,Scott Anjewierden,1,False
anneser|l,person:lukas anneser,Lukas Anneser,Lukas Anneser,1,False
anokhin|k,person:k anokhin,K. Anokhin,K. Anokhin,1,False
ansari|n,person:namra ansari,Namra Ansari,Namra Ansari,1,False
anthony|d,person:d anthony,D. Anthony,D. Anthony,1,False
antille|n,person:n antille,N. Antille,N. Antille,1,False
anton-sanchez|l,person:laura anton sanchez,Laura Anton-Sanchez,Laura Anton-Sanchez,1,False
antone|a,person:amelia antone,Amelia Antone,Amelia Antone,1,False
antonietti|a,person:a antonietti,A. Antonietti,A. Antonietti,1,False
antonios|jk,person:joseph antonios,Joseph K. Antonios,Joseph K. Antonios,1,False
antonopoulos|c,person:c antonopoulos,C. Antonopoulos,C. Antonopoulos,1,False
anton|es,person:e anton,E. S. Anton,E. S. Anton,1,False
antzoulatos|eg,person:evangelos antzoulatos,Evangelos G. Antzoulatos,Evangelos G. Antzoulatos,1,False
antón|pgad,person:paula guiomar alarcon de anton,Paula Guiomar Alarcón de Antón,Paula Guiomar Alarcón de Antón,1,False
an|b,person:bobae an,Bobae An,Bobae An,1,False
an|l,person:lijun an,Lijun An,Lijun An,1,False
an|s,person:sile an,Sile An,Sile An,1,False
an|x,person:xu an,Xu An,Xu An,1,False
appiah|k,person:kofi appiah,Kofi Appiah,Kofi Appiah,1,False
apóstolo|n,person:nuno apostolo,Nuno Apóstolo,Nuno Apóstolo,1,False
aquino|s,person:sarvia aquino,Sarvia Aquino,Sarvia Aquino,1,False
aragon|mj,person:max aragon,Max J Aragon,M. J. Aragon; Max J Aragon,1,False
arango-gonzalez|b,person:b arango gonzalez,B. Arango-Gonzalez,B. Arango-Gonzalez,1,False
arbeitman|m,person:m arbeitman,M. Arbeitman,M. Arbeitman,1,False
archie|ka,person:k archie,K. A. Archie,K. A. Archie,1,False
arcidiacono|a,person:a arcidiacono,A. Arcidiacono,A. Arcidiacono,1,False
arcucci|r,person:rossella arcucci,Rossella Arcucci,Rossella Arcucci,1,False
ardesch|dj,person:dirk jan ardesch,Dirk Jan Ardesch,Dirk Jan Ardesch,1,False
arenas|a,person:a arenas,A. Arenas,A. Arenas,1,False
arenas|e,person:e arenas,E. Arenas,E. Arenas,1,False
arendt|d,person:d arendt,D. Arendt,D. Arendt,1,False
arenkiel|br,person:benjamin arenkiel,Benjamin R. Arenkiel,Benjamin R. Arenkiel,1,False
arey|rn,person:rachel arey,Rachel N. Arey,Rachel N. Arey,1,False
arganda-carreras|i,person:ignacio arganda carreras,Ignacio Arganda-Carreras,Ignacio Arganda-Carreras,1,False
arias-gil|g,person:g arias gil,G. Arias-Gil,G. Arias-Gil,1,False
arikawa|k,person:k arikawa,K. Arikawa,K. Arikawa,1,False
