facet,value,era,time_role,n_working_set,n_global_core,champion_work_id,champion_doi,champion_title,champion_year,champion_in_global_core,in,out,k_core,year_cites_percentile
method,SmartEM ML-guided acquisition,2025,sota,2,0,work_7fd39b6d64027898,10.1038/s41592-025-02929-3,SmartEM: machine-learning guided electron microscopy,2025,,0,18,13,61
method,FlyWire,2025,sota,8,0,work_2f671ade1d1c2e2c,10.21203/rs.3.rs-6881911/v1,Sexually-dimorphic neurons in the Drosophila whole-brain connectome,2025,,0,14,10,14
method,Network motifs,2025,sota,6,1,work_11b6d0203fd3730b,10.1101/2025.07.02.662847,MoMo - Combining Neuron Morphology and Connectivity for Interactive Motif Analysis in Connectomes,2025,,1,21,12,51
method,FIB-SEM,2025,sota,5,3,work_8443aa3a33e10095,10.7554/elife.88824,The unique synaptic circuitry of specialized olfactory glomeruli in Drosophila melanogaster,2025,yes,3,29,13,73
method,CLEM,2025,sota,4,0,work_4aacd75f73cf971f,10.1101/2025.03.14.643363,Correlative light and electron microscopy reveals the fine circuit structure underlying evidence accumulation in larval zebrafish,2025,,0,10,10,83
method,TEM,2025,sota,3,0,work_a7f972fae6f1bf6b,10.1073/pnas.2521349122,Photoemission electron microscopy for connectomics,2025,,1,5,4,36
method,U-Net,2025,sota,3,0,work_4422d2e92d67043e,10.1016/j.cag.2025.104391,"Deep learning for brain electron microscopy segmentation: Advances, challenges, and future directions in connectomics and ultrastructure analysis",2025,,1,33,13,76
method,XNH,2025,sota,2,0,work_50d091001b66a2d0,10.1364/boe.559263,Scaling up X-ray holographic nanotomography for neuronal tissue imaging,2025,,1,4,5,73
method,confocal,2025,sota,2,0,work_7d84e7f7fdec51d5,10.1038/s41467-025-56641-z,"Dense, continuous membrane labeling and expansion microscopy visualization of ultrastructure in tissues",2025,,0,3,3,86
method,ssTEM,2025,sota,2,1,work_554b7819a83e2fe3,10.1101/2025.10.16.682869,Synapse Detection Efficiency in EM Drosophila Connectomics,2025,yes,2,12,10,51
method,Connectome-constrained visual-system model,2025,sota,3,1,work_5abec42a57c2d02e,10.1101/2024.11.18.624135,Probing circuit mechanisms of feature selectivity in mouse visual cortex through synaptic-resolution connectomics,2025,,0,16,11,14
method,CAVE / PyChunkedGraph,2025,sota,1,1,work_69a812a079debc62,10.1038/s41592-024-02426-z,CAVE: Connectome Annotation Versioning Engine,2025,yes,8,37,13,98
method,SBF-SEM,2025,sota,3,0,work_f89235b38a4cc138,10.3390/cryst16010014,"Volume Electron Microscopy: Imaging Principles, Computational Advances and Applications in Multi-Scale Biological System",2025,,0,6,6,51
method,expansion microscopy,2025,sota,2,0,work_7d84e7f7fdec51d5,10.1038/s41467-025-56641-z,"Dense, continuous membrane labeling and expansion microscopy visualization of ultrastructure in tissues",2025,,0,3,3,86
method,Synful partner prediction,2025,sota,1,0,work_938db2c7232708be,10.48550/arxiv.2509.17041,Towards Generalized Synapse Detection Across Invertebrate Species,2025,,1,22,13,36
method,serial-section EM,2025,sota,1,0,work_958be63650186414,10.1073/pnas.2505822122,"PyReconstruct: A fully open-source, collaborative successor to Reconstruct",2025,,1,21,13,76
method,light-sheet,2025,sota,1,0,work_9952e1421e932a54,10.1101/2025.11.16.688700,CochleaNet: deep learning-based image analysis for cochlear connectomics and gene therapy,2025,,0,1,1,14
method,LICONN light-microscopy connectomics,2025,sota,1,1,work_9d8ce18df11df9cc,10.1038/s41586-025-08985-1,Light-microscopy-based connectomic reconstruction of mammalian brain tissue,2025,yes,21,15,12,99
