class,jaccard,preprint_wid,published_wid,preprint_doi,published_doi,cites_a,cites_b,cites_summed,years,title,in_working_view
near_duplicate,0.647,work_d2cf5ae3fcec1d76,work_b4034d2b55e4699b,10.1093/ons/opy267,10.1093/ons/opy269,108,20,128,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 15: Tractographic Description of the Uncinate Fasc,neither
near_duplicate,0.647,work_c700043aaf02b71f,work_1b41887b5b849c90,10.1093/ons/opy266,10.1093/ons/opy270,20,23,43,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 16: Tractographic Description of the Vertical Occi,neither
near_duplicate,0.647,work_1b41887b5b849c90,work_e1729e254cf16f0b,10.1093/ons/opy270,10.1093/ons/opy264,23,49,72,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 10: Tractographic Description of the Superior Long,neither
near_duplicate,0.647,work_1b41887b5b849c90,work_ebb5cbb34f978077,10.1093/ons/opy270,10.1093/ons/opy265,23,43,66,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 11: Tractographic Description of the Inferior Long,neither
near_duplicate,0.643,work_21172651321be0c9,work_324fa11700fbfc52,10.1007/978-1-0716-0691-9_12,10.1017/s1431927618006621,24,1,25,2020/2018,Breaking Barriers of FIB-SEM for Large Volume Connectomics and Cell Biology,one
near_duplicate,0.643,work_d8dd48a5b851016b,work_18264164a76d2465,10.1016/j.brs.2023.01.443,10.1038/s42003-023-04787-1,0,5,5,2023/2022,A framework for focal and connectomic mapping of transiently disrupted brain function,neither
near_duplicate,0.625,work_21ca1a6a685fb238,work_1b41887b5b849c90,10.1093/ons/opy271,10.1093/ons/opy270,9,23,32,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 16: Tractographic Description of the Vertical Occi,neither
near_duplicate,0.625,work_21ca1a6a685fb238,work_93440c8f56e857c5,10.1093/ons/opy271,10.1093/ons/opy268,9,31,40,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 14: Tractographic Description of the Frontal Aslan,neither
near_duplicate,0.625,work_728c41c779e0c4ad,work_91a7d484b5f7fde6,10.1212/wnl.80.7_supplement.pd6.009,10.1212/wnl.82.10_supplement.p3.336,1,2,3,2013/2014,Abnormalities of the Brain Functional Connectome in Pediatric Patients with Multiple Sclerosis (P3.3,neither
near_duplicate,0.625,work_c700043aaf02b71f,work_21ca1a6a685fb238,10.1093/ons/opy266,10.1093/ons/opy271,20,9,29,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 17: Tractographic Description of the Cingulum.,neither
near_duplicate,0.625,work_21ca1a6a685fb238,work_e1729e254cf16f0b,10.1093/ons/opy271,10.1093/ons/opy264,9,49,58,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 10: Tractographic Description of the Superior Long,neither
near_duplicate,0.625,work_21ca1a6a685fb238,work_ebb5cbb34f978077,10.1093/ons/opy271,10.1093/ons/opy265,9,43,52,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 11: Tractographic Description of the Inferior Long,neither
near_duplicate,0.611,work_d2cf5ae3fcec1d76,work_c700043aaf02b71f,10.1093/ons/opy267,10.1093/ons/opy266,108,20,128,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 12: Tractographic Description of the Middle Longit,neither
near_duplicate,0.611,work_d2cf5ae3fcec1d76,work_e1729e254cf16f0b,10.1093/ons/opy267,10.1093/ons/opy264,108,49,157,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 10: Tractographic Description of the Superior Long,neither
near_duplicate,0.6,work_ca363b7087c45440,work_b02a08a25205f85d,,,3,6,9,2021/2021,RLCorrector: Reinforced Proofreading for Cell-level Microscopy Image Segmentation,one
near_duplicate,0.6,work_e9f557c65b23f07d,work_3737b4da7f4cfb1c,10.1089/brain.2013.0175,10.1016/j.neuroimage.2012.12.031,58,80,138,2013/2012,The Structural Connectome of the Human Brain in Agenesis of the Corpus Callosum,neither
near_duplicate,0.6,work_165f100ce8761153,work_e47b5df65b344c69,,10.7554/elife.26414.042,0,1,1,2017/2017,"Author response: SynEM, automated synapse detection for connectomics",neither
near_duplicate,0.6,work_5ed8dc6839b450eb,work_e4d691c8103623dc,10.1109/embc.2015.7320165,10.1109/bhi.2014.6864439,0,1,1,2015/2014,Extension to Distributed Annotation System: Summary command,neither
near_duplicate,0.6,work_5fb95c6304c0c71b,work_a88582836a872e1e,10.1016/j.jns.2020.116907,10.1016/j.jns.2021.117322,14,18,32,2020/2021,Parcellation-based modeling of the supplementary motor area.,neither
near_duplicate,0.6,work_0537e888fd7c3be9,work_b2b287b17fb9a689,10.1016/j.bandl.2017.08.006,10.1016/b978-0-12-804076-8.00016-5,20,0,20,2019/2016,Neuronal network architecture and temporal lobe epilepsy: A connectome-based and machine learning st,neither
